price,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,br_2,br_3,br_4,br_5,br_6,br_7,br_8,bath_0.75,bath_1.0,bath_1.25,bath_1.5,bath_1.75,bath_2.0,bath_2.25,bath_2.5,bath_2.75,bath_3.0,bath_3.25,bath_3.5,bath_3.75,bath_4.0,bath_4.25,bath_4.5,bath_4.75,flr_1.5,flr_2.0,flr_2.5,flr_3.0,flr_3.5,con_2,con_3,con_4,con_5,gd_4,gd_5,gd_6,gd_7,gd_8,gd_9,gd_10,gd_11,gd_12,wf_1.0
221900.0,-1.0966352646928446,-0.3045392981014971,1180,0.0,1955,1955.0,-0.9920083916565623,-0.3192090215347985,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
538000.0,0.870195285133104,0.046284385442032935,2170,400.0,1951,1991.0,-0.24510188053859636,0.1370433623913065,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
180000.0,-2.1752687023197845,0.5023173779847709,770,0.0,1933,1933.0,1.2866441066644285,0.21857119475793635,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
604000.0,0.18553308505240243,-0.47726133232243173,1050,910.0,1965,1965.0,-0.9443244488223904,-0.5040897348313851,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
510000.0,-0.2039730719054031,0.2010256093639139,1680,0.0,1987,1987.0,-0.04214250559509769,0.10986926789303461,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
257500.0,-0.15187249520637947,-0.03877046691834608,1715,0.0,1995,1995.0,0.658857106619126,-0.034731529692095066,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
291850.0,-1.3676220318335548,0.46087313795867046,1060,0.0,1963,1963.0,-0.32219795626671177,0.5000842306733797,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
229500.0,-0.057875248145602916,0.09009121021549579,1050,730.0,1960,1960.0,-0.07810497214553908,0.22811046302120394,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
323000.0,0.093639741899586,-0.09349401446794331,1890,0.0,2003,2003.0,0.8703542238613988,0.1233175156073894,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
662500.0,1.6935610400925587,0.4731892906032514,1860,1700.0,1965,1965.0,0.618334537364437,0.3724064590270832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
468000.0,-1.13982928142124,-0.21959842828934475,860,300.0,1942,1942.0,-1.0161179221515493,-0.22828878272603254,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
310000.0,-0.611087581985382,1.4748832119979483,1430,0.0,1927,1927.0,-0.07810497214553908,0.9056535125334937,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
400000.0,-0.7193950951595559,0.4563545188986664,1370,0.0,1977,1977.0,-0.9207448029116205,0.5755876711698975,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
